id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
SD182691,33.2347,-117.4181,cch2,WGS84,80,20106,Peritoma arborea var. arborea,Meagan Arnold,2007-04-10,SDNHM,San Diego,"Santa Margarita Dunes, Camp Pendleton, San Diego County",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SD193260,33.14583,-117.31028,cch2,WGS84,80,20106,Peritoma arborea var. arborea,A. C. Sanders,2004-05-07,SDNHM,San Diego,"Agua Hedionda Ecological Reserve, near Laguna Riviera Park, off Park St.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SD212542,33.08972,-117.31139,cch2,WGS84,80,20106,Peritoma arborea var. arborea,Andrew C. Sanders,2005-04-15,SDNHM,San Diego,"Batiquitos Lagoon Ecological Reserve, just N of Leucadia, north side of the mouth of the lagoon between the railroad crossing and Carlsbad Blvd. Quad: Encinitas 7.5? Q.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5802750,33.632306,-117.774061,cch2,WGS84,10,314,Peritoma arborea var. arborea,Fred M. Roberts,2017-06-13,UCI,Orange,"SAN JOAQUIN HILLS: City of Irvine Open Space Preserve, Shady Canyon, Cattle Crest Trail, ca. 4.5 km NE summit Signal Peak & 3.8 km SE French Hill. Tustin 7.5' USGS Quad",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5839426,34.3423,-119.2899,cch2,WGS84,5,78,Peritoma arborea var. arborea,Ellen Dean,2023-05-10,UCSB,Ventura,Ventura Land Trust Hayden Preserve. North side of Cañada Larga Road just east of Hwy 33. Eastern end of the preserve near large oak tree.,high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
4129754,33.4745,-117.6771,cch2,WGS84,5,78,Peritoma arborea var. globosa,Ron Vanderhoff,2020-11-29,UCI,Orange,"100m E San Juan Creek at Stonehill Drive, Dana Point",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
OBI186708,34.71866,-118.74298,cch2,WGS84,5,78,Peritoma arborea var. globosa,Jordan Collins,2022-05-18,Cal Poly,Los Angeles,"Western Transverse Ranges, Angeles National Forest, Bald Mountain, Edison Spring Road. About 4000ft E of West Fork of Liebre Gulch. Roadside.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5682507,34.62674,-118.73763,cch2,WGS84,4,50,Peritoma arborea var. globosa,Jordan Collins,2022-08-22,Cal Poly,Los Angeles,"Western Transverse Ranges, Angeles National Forest, Ridge Route Ridge Bioregion. Cherry Canyon, E of old Hwy 99, SW of I-5, about 2155 air feet NE of old Hwy 99.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5682592,34.65602,-118.75124,cch2,WGS84,2,12,Peritoma arborea var. globosa,Jordan Collins,2022-08-25,Cal Poly,Los Angeles,"Western Transverse Ranges, Angeles National Forest, Ridge Route Ridge Bioregion. Along Reservoir Hill Road between Old Ridge Route and I-5. N side of Posey Canyon, about 1000 air feet E of I-5.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
OBI176423,36.7788,-120.8163,cch2,WGS84,10,314,Peritoma arborea var. globosa,Christopher Hauser,2018-05-03,Cal Poly,Fresno,"Little Panoche Reservoir Wildlife Area, south side of Little Panoche Road, at locked gate blocking abandoned highway.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
