id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
po154280,36.63013,-120.87319,mgr,WGS84,1,1,Atriplex polycarpa,Christopher Hauser,2019-06-20,Center for Natural Lands Management,San Benito,"USA, California, eastern San Benito County, western Panoche Valley. Panoche Valley Preserve, growing about 300 meters east from Little Panoche Road. N 36.63013 W 120.87319",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io9491,35.021003,-119.416477,mgr,WGS84,34,3631,Atriplex polycarpa,Angelique Herman,2019-03-20,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io9492,34.987526,-119.431624,mgr,WGS84,8,201,Atriplex polycarpa,Angelique Herman,2019-03-20,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io9490,34.964514,-119.722526,mgr,WGS84,8,201,Atriplex polycarpa,Angelique Herman,2019-03-20,NA,Santa Barbara,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io9489,34.966225,-119.734498,mgr,WGS84,12,452,Atriplex polycarpa,Angelique Herman,2019-03-20,NA,Santa Barbara,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io7573,36.50657,-120.460498,mgr,WGS84,8,201,Atriplex polycarpa,Angelique Herman,2019-01-29,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io6568,35.021214,-119.416583,mgr,WGS84,16,804,Atriplex polycarpa,Angelique Herman,2018-11-05,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io6567,35.058322,-119.387191,mgr,WGS84,8,201,Atriplex polycarpa,Angelique Herman,2018-11-05,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io6536,35.058005,-119.279342,mgr,WGS84,8,201,Atriplex polycarpa,Angelique Herman,2018-11-05,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po25070,36.600129,-120.753522,mgr,WGS84,6,100,Atriplex polycarpa,Christopher Hauser,2017-01-04,NA,San Benito,"USA, California, San Benito County. Extreme east end of Panoche Valley, west side of Panoche Creek, about 0.4 miles northeast (downstream) of the Panoche Road crossing over Panoche Creek. N 36.6001 W 120.7535",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po25069,36.592643,-120.776868,mgr,WGS84,6,100,Atriplex polycarpa,Christopher Hauser,2016-12-08,NA,San Benito,"USA, California, San Benito County. Eastern Panoche Valley, north of Panoche Creek, about 1 mile west (upstream) of the Panoche Road crossing over Panoche Creek. N 36.5926 W 120.7769",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe1821,35.189811,-119.862894,online,WGS84,18,1000,Atriplex polycarpa,Mike Loomis,2010-04-18,NA,San Luis Obispo,"Carrizo Plain, off of Soda Lake Rd.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb1194-352,33.42461,-115.16931,online,WGS84,20,1200,Atriplex polycarpa,Brian and Eileen Keelan,2009-12-28,NA,Imperial,"Graham Pass Rd, 0.1 mi N of Bradshaw Tr -- Chuckwalla Bench ACEC",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb1194-351,36.71513,-120.85807,online,WGS84,20,1200,Atriplex polycarpa,Brian and Eileen Keelan,2009-01-31,NA,Fresno,"BLM Panoche Access Rd, Mi 0.4 -- Panoche Hills",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb1194-350,34.00981,-116.30655,online,WGS84,20,1200,Atriplex polycarpa,Brian and Eileen Keelan,2009-01-03,NA,Riverside,Upper Covington Flat -- Joshua Tree NP,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1112,35.942289,-116.926724,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-20,Bristlecone CNPS,Inyo,Small Spring in Anvil Spring Canyon; W of Mesquite Spring,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1090,35.933501,-116.893463,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-19,Bristlecone CNPS,Inyo,Anvil Spring Canyon; gravelly wash; ~1 mile E of Mesquite Spring,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1099,35.940448,-116.909862,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-19,Bristlecone CNPS,Inyo,Mesquite Spring in Anvil Spring Canyon,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1018,37.098548,-117.684648,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-10,Bristlecone CNPS,Inyo,W side of Eureka Dunes at North end; low sand depth adjacent to dunes,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1014,37.100073,-117.682771,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-09,Bristlecone CNPS,Inyo,"Site runs from mouth of Vigin Spring Canyon, N, up canyon ~2.5 miles",medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-218,36.320314,-117.515151,online,WGS84,126,50000,Atriplex polycarpa,"Slaton, Michèle",2008-03-24,Bristlecone CNPS,Inyo,Darwin Falls,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-237,37.012621,-117.347791,online,WGS84,126,50000,Atriplex polycarpa,"Slaton, Michèle",2007-10-11,Bristlecone CNPS,Inyo,Cottonwood Corner,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
IRVC107838,34.28722,-115.45111,cch2,WGS84,99,30790,Atriplex polycarpa,A.C. Sanders,2004-10-10,UCI,San Bernardino,"Cadiz Valley ca. 17 miles north of Hwy 62, west of Cadiz Lake salt evaporators, along dirt road up west side of valley toward Calumet Mine",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0200984,34.31408,-114.7757,cch2,WGS84,5,78,Atriplex polycarpa,Sarah J. De Groot,2018-10-30,Cal BG,San Bernardino,"BLMTurtle Mountains Wilderness: Mopah Spring. Ca. 3.4 air miles west-southwest of NS 634, ca. 4.4 road miles west of Highway 95 on NS 634, ca. 0.7 air miles west-northwest of Mopah Peak 1076T.; Mopah Peaks 7.5' quad. San Bernardino meridian",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
IRVC107839,34.32444,-115.47556,cch2,WGS84,99,30790,Atriplex polycarpa,A.C. Sanders,2004-10-10,UCI,San Bernardino,"Cadiz Valley ca. 19 miles north of Hwy 62, west of north end of Cadiz Lake, along dirt road up west side of valley toward Calumet Mine",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0170804,34.931944,-119.014722,cch2,WGS84,10,314,Atriplex polycarpa,Tim Thomas,2004-05-14,Cal BG,Kern,"Southern San Joaquin Valley: San Emigdio Ranch, 2 miles up from the mouth of Salt Creek.; Grapevine Creek 7.5'",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
OBI186268,36.136833,-120.187389,cch2,WGS84,100,31415,Atriplex polycarpa,Mitch Provance,2012-08-22,Cal Poly,Fresno,"Pleasant Valley. Polvadero Gap, between the Guijarral Hills and Kettleman Hills, Zapato Chino Creek, south side of Jayne Ave., 0.7 miles east of Sutter Ave. 7.5' Quad: Guijarral Hills.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
